---Q-RK-PP---PPP--R-P-----B---------N-----p-----pp--qpppr-b--rk-,,,b,e7e5
---Q-RK-PP---PPP--R-PN----B---------P-----p-----pp-nqpppr-b--rk-,,,b,d7e5
---Q-RK-PP---PPP--R-PN----B---------n-----p-----pp--qpppr-b--rk-,,,w,f3e5
---Q-RK-PP---PPP--R-PN----BP--------------p-p---pp-nqpppr-b--rk-,,,b,e6e5
---Q-RK-PP---PPP--R-PN----BP--------p-----p-----pp-nqpppr-b--rk-,,,w,d1b1
---Q-RK-PP---PPP--R-PN----BP--------p-----p-----pp-nqpppr-b--rk-,,,w,d1c2
---Q-RK-PP---PPP--R-PN----BP--------p-----p-----pp-nqpppr-b--rk-,,,w,d4e5
--KR---RPPPQ--PP--N-BP----BNP-------------np-np-pp-bppbpr--q-rk-,,,b,d8a5
--KR---RPPPQ--PP--N-BP----BNP---q---------np-np-pp-bppbpr----rk-,,,w,c4b3
--KR---RPPPQ--PP-BN-BP-----NP---q---------np-np-pp-bppbpr----rk-,,,b,f8c8
--KR---RPPPQ--PP-BN-BP-----NP---q---------np-np-pp-bppbpr-r---k-,,,w,h2h4
--KR---RPPPQ-PPP--N-------BNP---q-----B-p--ppn---p-n-pppr-b-kb-r,bB,,b,b7b5
--KR---RPPPQ-PPP--N-------BNP---qp----B-p--ppn-----n-pppr-b-kb-r,bB,b5,w,c4b3
--KR---RPPPQ-PPP-BN--------NP---qp----B-p--ppn-----n-pppr-b-kb-r,bB,,b,c8b7
--KR---RPPPQ-PPP-BN--------NP---qp----B-p--ppn---b-n-pppr---kb-r,bB,,w,h1e1
--KR--NRPPPB-PPP--N-Q----bB-P-------------n--n--pppp-pppr-bqr-k-,,,b,d7d6
--KR--NRPPPB-PPP--N-Q----bB-P-------------np-n--ppp--pppr-bqr-k-,,,w,g1h3
--KR-B-RPPP---PP--N--Q-----NPP--------B-p--ppn---pq-bppprnb-k--r,bB,,b,b8d7
--KR-B-RPPPQ--PP--N--------NPP--------B---nppn--pp--bpppr-bq-rk-,,f4,b,c6d4
--KR-B-RPPPQ--PP--N--------NPP--------B---nppn--pp--bpppr-bq-rk-,,f4,b,e6e5
--KR-B-RPPPQ--PP--N--------NPP--------B-p-nppn---p-b-pppr--qkb-r,bB,f4,b,f8e7
--KR-B-RPPPQ--PP--N--------NPP--------B-p-nppn---p-bbpppr--qk--r,bB,,w,d4f3
--KR-B-RPPPQ--PP--N--------nPP--------B----ppn--pp--bpppr-bq-rk-,,,w,d2d4
--KR-B-RPPPQ--PP--N--N------PP--------B-p-nppn---p-bbpppr--qk--r,bB,,b,b7b5
--KR-B-RPPPQ--PP--N--N------PP---p----B-p-nppn-----bbpppr--qk--r,bB,b5,w,g5f6
--KR-B-RPPPQ--PP--N--N-----P-P----ppP-----n-p---pp-nqpppr-b--rk-,,,b,c5c4
--KR-B-RPPPQ-PPP--N--------NP---------B---nppn--pp--bpppr-bq-rk-,,,w,f2f4
--KR-B-RPPPQ-PPP--N--------NP---------B---nppn--pp--bpppr-bqk--r,bB,,b,e8g8
--KR-B-RPPPQ-PPP--N--------NP---------B-p-nppn---p---pppr-bqkb-r,bB,,b,c8d7
--KR-B-RPPPQ-PPP--N--------NP---------B-p-nppn---p-b-pppr--qkb-r,bB,,w,f2f4
--KR-BNRPPPB-PPP--N-Q----b--P-------------n--n--pppp-pppr-bq-rk-,,,b,f8e8
--KR-BNRPPPB-PPP--N-Q----b--P-------------n--n--pppp-pppr-bqr-k-,,,w,f1c4
--KRR---PPPQ-PPP-BN--------NP---qp----B-p--ppn---b-n-pppr---kb-r,bB,,b,d7c5
--KRR---PPPQ-PPP-BN--------NP---qpn---B-p--ppn---b---pppr---kb-r,bB,,w,e4e5
--R-KB-RPPQ--PPP--N-PN----PP-------p--B---p-pn--pp-nbpppr-bq-rk-,w,,b,a7a6
--R-KB-RPPQ--PPP--N-PN----PP-------p--B---p-pn--pp-nbpppr-bq-rk-,w,,b,f6e4
--R-KB-RPPQ--PPP--N-PN----PP-------p--B-p-p-pn---p-nbpppr-bq-rk-,w,,w,a2a3
--R-KB-RPPQ--PPP--N-PN----PP-------p--B-p-p-pn---p-nbpppr-bq-rk-,w,,w,c4d5
--RQ-RK-PP---PPP--N-PN----BP-------n------p-p---pp-nqpppr-b--rk-,,,b,d5c3
--RQ-RK-PP---PPP--NBPN----PP-------p------p-pb-ppp-n-pp-r-bq-rk-,,,b,d5c4
--RQ-RK-PP---PPP--NBPN----pP--------------p-pb-ppp-n-pp-r-bq-rk-,,,w,d3c4
--RQ-RK-PP---PPP--n-PN----BP--------------p-p---pp-nqpppr-b--rk-,,,w,c1c3
--RQ-RK-PP--PPBP--N--NP----P------pp--B---n-bn--pp--bpppr--q-rk-,,,b,b7b6
--RQ-RK-PP--PPBP--N--NP----P------pp--B---n-bn--pp--bpppr--q-rk-,,,b,c5c4
--RQK--RPP---PPP--N-PN----BP----------B---p-pn--pp-nbpppr-bq-rk-,w,,b,b7b5
--RQK--RPP---PPP--N-PN----BP----------B---p-pn--pp-nbpppr-bq-rk-,w,,b,f6d5
--RQK--RPP---PPP--N-PN----BP-------n------p-p---pp-nBpppr-bq-rk-,w,,b,d8e7
--RQK--RPP---PPP--N-PN----BP-------n------p-p---pp-nqpppr-b--rk-,w,,w,c3e4
--RQK--RPP---PPP--N-PN----BP-------n------p-p---pp-nqpppr-b--rk-,w,,w,e1g1
--RQK--RPP---PPP--N-PN----BP-------n--B---p-p---pp-nbpppr-bq-rk-,w,,w,g5e7
--RQK--RPP---PPP--N-PN----BP-------n--B---p-p---pp-nbpppr-bq-rk-,w,,w,h2h4
--RQK--RPP---PPP--NBPN----PP-------p------p-pb-ppp---pp-rnbq-rk-,w,,b,b8d7
--RQK--RPP---PPP--NBPN----PP-------p------p-pb-ppp-n-pp-r-bq-rk-,w,,w,e1g1
--RQK--RPP---PPP--NBPN----PP-------p--B---p-pn--pp-nbpppr-bq-rk-,w,,b,d5c4
--RQK--RPP---PPP--NBPN----pP----------B---p-pn--pp-nbpppr-bq-rk-,w,,w,d3c4
--RQKB-RPP---PPP----PN-----P-------p-----p-----pp-p-qpp-rnb--rk-,w,,b,c8e6
--RQKB-RPP---PPP--N-PN-----P-------P--B--p--pn--p-pnbpppr-bq-rk-,w,,b,e6d5
--RQKB-RPP---PPP--N-PN-----P-------p--B--p---n--p-pnbpppr-bq-rk-,w,,w,f1b5
--RQKB-RPP---PPP--N-PN-----P-------p--B--p---n--p-pnbpppr-bq-rk-,w,,w,f1d3
--RQKB-RPP---PPP--N-PN----PP-------p--------pb-pppp--pp-rnbq-rk-,w,,b,c7c6
--RQKB-RPP---PPP--N-PN----PP-------p------p-pb-ppp---pp-rnbq-rk-,w,,w,f1d3
--RQKB-RPP---PPP--N-PN----PP-------p--B-----pn--pppnbpppr-bq-rk-,w,,b,a7a6
--RQKB-RPP---PPP--N-PN----PP-------p--B-----pn--pppnbpppr-bq-rk-,w,,b,b7b6
--RQKB-RPP---PPP--N-PN----PP-------p--B-----pn--pppnbpppr-bq-rk-,w,,b,c7c6
--RQKB-RPP---PPP--N-PN----PP-------p--B---p-pn--pp-nbpppr-bq-rk-,w,,w,d1c2
--RQKB-RPP---PPP--N-PN----PP-------p--B---p-pn--pp-nbpppr-bq-rk-,w,,w,f1d3
--RQKB-RPP---PPP--N-PN----PP-------p--B--p--pn--p-pnbpppr-bq-rk-,w,,w,c4d5
--RQKB-RPP---PPP--N-PN----PP-------p--B-p---pn---ppnbpppr-bq-rk-,w,,w,c4d5
--RQKB-RPP--PPPP--N--N----PP-------p--B---p-pn--pp-n-pppr-bqkb-r,wbB,,b,d8a5
--RQKB-RPP--PPPP--N--N----PP----q--p--B---p-pn--pp-n-pppr-b-kb-r,wbB,,w,g5d2
--RQKBNRPP---PPP--N-P-----P--B----Pp---------np-pp--ppbprnbq-rk-,w,,b,c8e6
--RQKBNRPP---PPP--N-P-----PP-B-----p---------np-ppp-ppbprnbq-rk-,w,,b,c7c5
--RQKBNRPP---PPP--N-P-----PP-B----pp---------np-pp--ppbprnbq-rk-,w,c5,w,d4c5
-R--KB-RPqPQ--PP--N--------NPP--------B-p--ppn---p---ppprnb-kb-r,wbB,,b,b2a3
-RBQK-NRPP-PPPBP--N---P---P---------p-----n---p-pppp-pbpr-bqk-nr,wbB,,b,g8h6
R-----NRPP--K--P--N-nP----P-P--Q---Pp------p--p-ppp--pbprnb--rk-,,,b,e3c4
R----RK-PBQNPPBP-P---NP---PP----p--p-----pp-pn-----nbpppr-bq-rk-,,,b,c8a6
R----RK-PPP-Q-PP--N-B-------P---N----P-----p-np-pp--ppbpr--q-rk-,,,b,d8a5
R----RK-PPP-Q-PP--N-B-------P---q----P-----p-np-pp--ppbpr----rk-,,,w,g2g4
R----RK-PPPB--PP--NP-Q----B--p------q----------bppppnp-prnb-k--r,bB,,b,b8c6
R----RK-PPPB--PP--NP-Q----B--p------q-----n----bppppnp-pr-b-k--r,bB,,w,a1e1
R----RK-PPQ--PPP--N-PN----BP------p---------pn-ppp--qpp-rnb--rk-,,,b,b8c6
R----RK-PPQ--PPP--N-PN----BP------p-------n-pn-ppp--qpp-r-b--rk-,,,w,f1d1
R---K--RPP--BPPP--N-BN----QPP-b---------------p-pppnppbprn-q-rk-,wW,,b,d7b6
R---K--RPP--BPPP--N-BN----QPP-b----------n----p-ppp-ppbprn-q-rk-,wW,,w,c4d3
R---K--RPP--BPPP--NQBN-----PP-b----------n----p-ppp-ppbprn-q-rk-,wW,,b,b8c6
R---K--RPP--BPPP--NQBN-----PP-b----------nn---p-ppp-ppbpr--q-rk-,wW,,w,e1c1
R---K--RPP-QPPBP--N--NP---PP-------------p--pn--pbpp-ppprn-q-rk-,wW,,b,f6e4
R---K--RPP-QPPBP--N--NP---PPn------------p--p---pbpp-ppprn-q-rk-,wW,,w,d2c2
R---K--RPPPQ--PP--N-BP----BNP-------------np-np-pp--ppbpr-bq-rk-,wW,,b,a7a5
R---K--RPPPQ--PP--N-BP----BNP-------------np-np-pp--ppbpr-bq-rk-,wW,,b,c8d7
R---K--RPPPQ--PP--N-BP----BNP-------------np-np-pp-bppbpr--q-rk-,wW,,w,e1c1
R---K--RPPPQ-PPP--N-------BNP---q-----B-p--p-n---p-nppppr-b-kb-r,wWbB,,b,e7e6
R---K--RPPPQ-PPP--N-------BNP---q-----B-p--ppn---p-n-pppr-b-kb-r,wWbB,,w,e1c1
R---K--RPPPQBPPP--N-B------NP-------------np-np-pp--ppbpr-bq-rk-,wW,,w,e1c1
R---K--RPPPQBPPP--N-B------NP-------------np-np-pp--ppbpr-bqk--r,wWbB,,b,e8g8
R---K--RPPQ--PPP--N-PN----BP----------------pn-pppp-qpp-rnb--rk-,wW,,b,c7c5
R---K--RPPQ--PPP--N-PN----BP------p---------pn-ppp--qpp-rnb--rk-,wW,c5,w,e1g1
